Date,Total Value,Cash,Holdings Value
2024-08-22,151030589.888,8101549.888000011,142929040.0
2024-08-23,150439026.888,8101549.888000011,142337477.0
2024-08-26,150441770.888,8101549.888000011,142340221.0
2024-08-27,149846569.888,8101549.888000011,141745020.0
2024-08-28,151170996.888,8101549.888000011,143069447.0
2024-08-29,151139419.888,8101549.888000011,143037870.0
2024-08-30,151741307.888,8101549.888000011,143639758.0
2024-09-02,153072257.888,8101549.888000011,144970708.0
2024-09-03,150443440.888,8101549.888000011,142341891.0
2024-09-04,145611528.888,8101549.888000011,137509979.0
2024-09-05,146024390.888,8101549.888000011,137922841.0
2024-09-06,143956242.888,8101549.888000011,135854693.0
2024-09-09,145032149.888,9034049.888000011,135998100.0
2024-09-10,144371384.888,9034049.888000011,135337335.0
2024-09-11,144949660.888,9034049.888000011,135915611.0
2024-09-12,148703812.888,9034049.888000011,139669763.0
2024-09-13,148591351.888,9034049.888000011,139557302.0
2024-09-19,149675016.888,9034049.888000011,140640967.0
2024-09-20,151072651.888,9034049.888000011,142038602.0
2024-09-23,152364116.888,9034049.888000011,143330067.0
2024-09-24,154840775.888,9034049.888000011,145806726.0
2024-09-25,153358190.888,9034049.888000011,144324141.0
2024-09-26,157530099.888,9034049.888000011,148496050.0
2024-09-27,156093453.888,9034049.888000011,147059404.0
2024-09-30,152498883.888,9034049.888000011,143464834.0
2024-10-02,150262501.888,9034049.888000011,141228452.0
2024-10-04,150474745.888,9034049.888000011,141440696.0
2024-10-07,153782559.888,9034049.888000011,144748510.0
2024-10-08,153415145.888,9034049.888000011,144381096.0
2024-10-10,153834270.888,9034049.888000011,144800221.0
2024-10-11,154065214.888,9034049.888000011,145031165.0
2024-10-14,154729776.888,9973249.888000011,144756527.0
2024-10-15,155164320.888,9973249.888000011,145191071.0
2024-10-16,153266521.888,9973249.888000011,143293272.0
2024-10-17,151230067.888,9973249.888000011,141256818.0
2024-10-18,150446826.888,9973249.888000011,140473577.0
2024-10-21,151752836.888,9973249.888000011,141779587.0
2024-10-22,148259348.888,9973249.888000011,138286099.0
2024-10-23,151534897.888,9973249.888000011,141561648.0
2024-10-24,149639243.888,9973249.888000011,139665994.0
2024-10-25,149524793.888,9973249.888000011,139551544.0
2024-10-28,152159383.888,9973249.888000011,142186134.0
2024-10-29,149975128.888,9973249.888000011,140001879.0
2024-10-30,149980069.888,9973249.888000011,140006820.0
